"","GSM1045517","GSM1045518","GSM1045519","GSM1045520","GSM1045521","GSM1045522","GSM1045523","GSM1045524","GSM1045525","GSM1045526","GSM1045527","GSM1045528","GSM1045529"
"8138988",4.350101,5.192134,5.164386,5.237929,5.205914,5.265761,4.684273,5.335373,5.413786,5.143421,6.26356,4.69553,5.393882
"8138995",4.471519,3.970276,4.607317,4.746222,4.847523,4.602262,4.552424,4.159702,4.447734,4.443716,4.474594,3.999217,4.454678
"8138997",5.194756,5.012136,5.049986,5.404428,5.354167,5.069033,4.96284,5.059443,4.471581,5.108354,4.544224,4.476481,5.340691
"8139003",8.287148,7.787617,8.023621,8.190354,7.871026,8.110958,8.474746,8.079011,8.408587,8.280506,8.377911,8.716827,8.450026
"8139015",6.373658,6.513117,7.009846,6.855771,7.017905,6.704059,6.719084,6.537243,6.212892,6.735956,6.49078,6.073825,6.116575
"8139017",2.510842,1.947433,1.608313,2.078513,1.921797,1.565338,1.775019,1.738197,1.650028,1.864152,1.565338,1.821812,1.785078
"8139019",3.808116,4.309759,3.70504,3.142056,4.208983,3.955815,3.70504,4.228845,3.561555,3.70504,3.421409,3.139153,3.902614
"8139021",4.528194,5.178167,5.023685,5.759899,5.262197,5.239374,5.17364,5.618037,4.573061,5.001729,5.017932,5.112751,5.342994
"8139031",4.186507,4.198021,3.802104,3.941341,4.247944,3.941341,3.941341,3.941341,4.659619,3.825757,3.770029,3.747328,3.606421
"8139033",3.429329,3.338818,3.338818,3.720491,3.195776,3.338818,3.287191,3.249684,2.980258,3.542363,3.337842,3.337982,3.238606
"8139055",6.096209,5.706293,5.662703,6.081346,5.775871,5.962043,5.672266,5.686284,5.285926,5.59135,5.672266,5.672266,5.447752
"8139057",3.635519,3.60115,4.017371,3.661087,3.789637,3.62036,4.084992,4.04094,3.065656,3.519309,3.62036,3.45085,3.608129
"8139083",4.793274,5.360983,4.752492,4.719658,4.492446,4.766207,4.536751,4.680958,4.687593,4.768995,4.445568,4.599716,4.687593
"8139085",5.474245,5.249492,5.427611,5.620677,5.380606,5.411197,5.326091,5.070256,4.178427,5.343614,5.208749,4.950722,5.008651
"8139087",3.153903,3.82064,3.207371,5.788195,3.748084,4.118021,6.624896,3.595589,2.971048,2.936657,3.018585,3.235351,3.312046
"8139100",2.810767,2.677895,2.696713,2.483562,2.644769,2.519066,2.634855,2.599234,2.86545,2.740675,2.350628,2.499646,2.460606
"8139107",4.327985,3.950367,4.561316,4.97287,4.638637,4.486042,4.758124,4.357255,4.543711,4.510608,4.095419,3.719029,4.280624
"8139113",4.252584,3.939188,3.817107,4.320107,4.215424,4.217313,3.962324,3.861987,3.945058,3.701493,3.655102,3.601508,3.833848
"8139118",4.655267,3.707305,4.948394,4.621353,4.261772,4.529661,4.282106,5.217168,4.890522,4.037987,4.486493,4.476481,4.486493
"8139121",3.944425,4.238709,4.376575,4.060044,3.984074,4.597647,4.257102,4.034428,3.254313,4.169694,3.755568,3.682732,3.583742
"8139125",4.364244,4.304161,4.304161,4.945806,4.185273,3.963209,4.041433,3.97508,3.315975,3.97508,3.755568,3.97508,3.747506
"8139128",5.057698,4.939312,4.639507,4.778744,3.989857,4.639507,5.391991,4.510564,4.076288,4.421273,4.639507,4.476481,4.919326
"8139131",6.092245,7.242305,4.642514,7.095542,6.703203,6.182807,7.73435,6.182807,5.42886,5.126542,6.569304,4.820402,6.182807
"8139158",5.489319,5.940239,6.271074,6.427043,5.764688,6.036454,5.691763,5.832588,4.72325,5.665465,5.663377,5.130117,5.487939
"8139160",5.429315,5.94773,6.048417,6.254558,5.763893,5.626189,5.682649,4.904771,4.612246,5.823897,5.511373,5.144052,4.986091
"8139163",4.508468,4.295784,4.766368,4.718646,4.674416,4.083639,4.573254,4.490291,3.196167,4.055712,3.470699,3.544888,4.081178
"8139165",8.753265,8.540731,8.210505,8.776487,8.314331,8.764669,8.749069,8.732252,9.091923,7.991524,8.250278,9.096086,8.796875
"8139196",3.101923,1.738197,1.482358,1.556942,1.979743,1.622739,1.649064,1.718585,1.567891,1.735178,1.345145,1.649064,1.805168
"8139198",7.68584,7.242365,7.872652,7.585123,6.992781,7.461936,7.566224,8.302913,8.286747,8.023298,8.089625,8.269693,8.306766
"8139201",7.330511,6.908041,6.144557,6.189271,6.673662,6.399098,6.552693,6.235977,5.747739,6.260139,6.350161,6.292672,6.000039
"8139203",7.810933,7.051112,7.106017,7.923601,7.680312,7.599773,7.558187,7.705229,7.68383,7.603993,7.599773,7.410056,7.560439
"8139207",10.47309,9.387642,9.893033,9.744834,10.35087,10.48156,10.42053,8.95953,12.03101,11.93696,11.7928,11.93325,11.72213
"8139212",6.403905,6.797294,6.174315,6.107752,6.5103,6.024851,6.441266,6.498343,6.883725,6.485558,7.50589,6.356293,6.872314
"8139228",5.784099,5.950849,5.970407,6.412172,5.809216,6.189874,6.080715,6.979218,7.073939,6.540504,6.544595,6.692769,6.765362
"8139232",6.029699,5.872854,5.653719,6.246485,5.479087,6.831575,6.846268,8.178221,7.450625,6.943302,7.146196,7.541921,7.507798
"8139242",3.495937,3.742048,4.477789,4.215745,3.200582,4.152326,4.177801,3.826455,3.747328,3.826455,3.456588,3.545503,3.686049
"8139244",9.418316,9.408146,9.052174,8.973622,9.724005,8.78789,8.98186,10.18764,9.148324,8.679946,9.588863,9.111715,9.168785
"8139250",7.880159,7.980436,7.983131,8.454844,7.762369,8.253901,8.253901,9.106776,8.509057,8.253901,7.92716,8.474901,8.384987
"8139256",7.923031,7.82825,7.688901,7.380649,7.766895,7.204867,7.586126,8.090352,7.844275,7.515204,7.738212,7.89315,7.825258
"8139264",9.360909,9.094431,9.448351,9.146378,8.72551,9.109134,9.076632,9.075454,9.097985,8.655924,9.036836,9.35037,8.974226
"8139270",7.914618,7.017262,7.78748,7.903719,7.814143,7.729697,7.038766,6.858409,8.014084,8.173059,7.330605,8.577368,7.885042
"8139276",6.164721,6.113883,6.719131,6.559618,6.768839,6.520308,6.48653,6.149837,5.845158,6.248039,6.096144,6.245082,5.783221
"8139281",6.562295,6.371955,6.574072,6.562079,6.584123,6.582055,6.351372,6.412823,6.727649,6.582055,6.625184,6.959198,6.63271
"8139299",8.635674,9.049886,8.595912,8.395087,8.732633,8.376609,8.676441,9.288854,8.519073,8.612801,8.948982,8.706579,8.691984
"8139307",4.803907,4.698695,4.569752,5.148762,4.70038,4.77209,4.613301,4.205722,3.811676,4.08517,4.446811,4.069553,4.249592
"8139314",5.507542,5.501014,5.941376,5.814551,5.921002,5.670986,5.629186,5.42096,5.279293,5.824902,5.269358,5.16428,5.174326
"8139330",4.095432,4.471603,4.712794,4.576548,5.015324,4.901196,4.576548,4.578549,4.124907,4.644888,4.501299,4.369105,4.554709
"8139356",7.838387,8.30256,7.379071,7.90989,7.86173,7.954358,8.219715,8.328553,8.440875,8.352061,8.235216,8.535819,8.568217
"8139365",2.456888,1.93954,1.707633,1.782051,2.312981,1.953846,1.93954,1.600898,2.290606,2.168216,1.604689,1.93954,1.845952
"8139367",5.193084,5.467355,5.590768,5.347749,5.302543,5.297576,5.019709,5.242568,4.82168,5.263317,5.167587,4.503213,5.002337
